🔥 STARTING 500s STRESS TEST
   Target: http://localhost:8000
   Duration: 500s
------------------------------------------------------------
TIME       | STATUS   | LATENCY  | CPU%   | MEM%   | BTC PRICE    | SIGNAL
 154s       | OK       |    6.2ms |  40.2% |  88.4% | --           | RUNNING
 155s       | OK       |   13.1ms |  53.2% |  88.0% | --           | RUNNING
 156s       | OK       |    3.1ms |  38.6% |  87.1% | --           | RUNNING
 157s       | OK       |   20.8ms |  42.3% |  87.1% | --           | RUNNING
 158s       | OK       |   24.2ms |  49.5% |  88.7% | --           | RUNNING
 159s       | OK       |   12.2ms |  43.6% |  88.9% | --           | RUNNING
 160s       | OK       |    7.1ms |  43.4% |  88.6% | --           | RUNNING
 161s       | OK       |    5.6ms |  43.3% |  89.0% | --           | RUNNING
 162s       | OK       |    9.4ms |  38.0% |  88.0% | --           | RUNNING
 163s       | OK       |    5.3ms |  21.5% |  80.7% | --           | RUNNING
 164s       | OK       |    4.9ms |  32.1% |  82.5% | --           | RUNNING
 165s       | OK       |    9.0ms |  29.0% |  82.6% | --           | RUNNING
 166s       | OK       |    8.2ms |  21.6% |  78.9% | --           | RUNNING
 167s       | OK       |    2.0ms |  26.4% |  79.7% | --           | RUNNING
 168s       | OK       |    3.0ms |  49.5% |  79.5% | --           | RUNNING
 169s       | OK       |    9.3ms |  39.6% |  77.8% | --           | RUNNING
 170s       | OK       |    5.7ms |  23.2% |  77.6% | --           | RUNNING
 171s       | OK       |    2.5ms |  30.7% |  78.1% | --           | RUNNING
 172s       | OK       |    6.9ms |  26.6% |  77.5% | --           | RUNNING
 173s       | OK       |    6.2ms |  24.7% |  77.5% | --           | RUNNING
 174s       | OK       |    6.3ms |  25.1% |  77.3% | --           | RUNNING
 175s       | OK       |    9.3ms |  21.6% |  77.1% | --           | RUNNING
 176s       | OK       |    6.8ms |  24.6% |  77.1% | --           | RUNNING
 177s       | OK       |    6.0ms |  22.3% |  76.8% | --           | RUNNING
 178s       | OK       |    4.1ms |  16.6% |  76.7% | --           | RUNNING
 179s       | OK       |    6.3ms |  35.6% |  77.7% | --           | RUNNING
 180s       | OK       |    6.1ms |  22.4% |  76.9% | --           | RUNNING
 181s       | OK       |    3.7ms |  34.8% |  76.1% | --           | RUNNING
 182s       | OK       |    3.5ms |  58.0% |  73.9% | --           | RUNNING
 183s       | OK       |    8.3ms |  17.2% |  73.7% | --           | RUNNING
 184s       | OK       |    8.4ms |  28.4% |  74.8% | --           | RUNNING
 185s       | OK       |    7.2ms |  22.3% |  73.5% | --           | RUNNING
 186s       | OK       |    8.3ms |  21.9% |  74.1% | --           | RUNNING
 187s       | OK       |    7.2ms |  13.8% |  73.7% | --           | RUNNING
 188s       | OK       |    8.2ms |  21.8% |  75.2% | --           | RUNNING
 189s       | OK       |    8.6ms |  21.3% |  74.4% | --           | RUNNING
 190s       | OK       |    6.9ms |  15.1% |  73.7% | --           | RUNNING
 191s       | OK       |    2.1ms |  18.2% |  73.2% | --           | RUNNING
 192s       | OK       |    6.4ms |  27.6% |  75.3% | --           | RUNNING
 193s       | OK       |    4.2ms |  30.4% |  75.6% | --           | RUNNING
 194s       | OK       |    3.6ms |  20.2% |  74.9% | --           | RUNNING
 195s       | OK       |    4.6ms |  15.7% |  74.4% | --           | RUNNING
 196s       | OK       |    8.0ms |  17.1% |  74.7% | --           | RUNNING
 197s       | OK       |    7.5ms |  27.0% |  75.2% | --           | RUNNING
 198s       | OK       |    8.1ms |  20.3% |  74.6% | --           | RUNNING
 199s       | OK       |    3.7ms |  23.0% |  75.0% | --           | RUNNING
 200s       | OK       |    8.1ms |  15.9% |  75.0% | --           | RUNNING
 201s       | OK       |    6.4ms |  19.6% |  75.1% | --           | RUNNING
 202s       | OK       |   16.0ms |  61.0% |  73.6% | --           | RUNNING
 203s       | OK       |    4.6ms |  62.9% |  73.1% | --           | RUNNING
 204s       | OK       |    7.5ms |  28.2% |  73.1% | --           | RUNNING
 205s       | OK       |    7.0ms |  23.0% |  73.5% | --           | RUNNING
 206s       | OK       |    7.8ms |  34.9% |  74.9% | --           | RUNNING
 207s       | OK       |    6.8ms |  21.2% |  74.7% | --           | RUNNING
 208s       | OK       |    7.2ms |  21.0% |  74.7% | --           | RUNNING
 209s       | OK       |    8.3ms |  21.9% |  74.4% | --           | RUNNING
 210s       | OK       |    4.6ms |  54.2% |  74.0% | --           | RUNNING
 211s       | OK       |    3.2ms |  32.5% |  74.8% | --           | RUNNING
 212s       | OK       |   11.5ms |  25.8% |  75.3% | --           | RUNNING
 213s       | OK       |    5.9ms |  35.9% |  82.4% | --           | RUNNING
 214s       | OK       |   11.2ms |  64.3% |  86.2% | --           | RUNNING
 215s       | OK       |    9.5ms |  28.8% |  85.9% | --           | RUNNING
 216s       | OK       |    4.1ms |  16.9% |  85.1% | --           | RUNNING
 217s       | OK       |    3.2ms |  23.6% |  84.4% | --           | RUNNING
 218s       | OK       |    7.4ms |  38.4% |  87.2% | --           | RUNNING
 219s       | OK       |    7.1ms |  22.5% |  87.1% | --           | RUNNING
 220s       | OK       |    7.5ms |  16.1% |  87.0% | --           | RUNNING
 221s       | OK       |    7.1ms |  17.7% |  87.1% | --           | RUNNING
 222s       | OK       |    7.7ms |  17.3% |  87.2% | --           | RUNNING
 223s       | OK       |    2.2ms |  37.9% |  79.8% | --           | RUNNING
 224s       | OK       |    8.3ms |  20.5% |  76.4% | --           | RUNNING
 225s       | OK       |    9.4ms |  31.1% |  77.7% | --           | RUNNING
 226s       | OK       |    6.8ms |  37.0% |  79.6% | --           | RUNNING
 227s       | OK       |    7.7ms |  22.5% |  78.4% | --           | RUNNING
 228s       | OK       |    7.5ms |  20.4% |  78.6% | --           | RUNNING
 229s       | OK       |    8.4ms |  18.7% |  79.1% | --           | RUNNING
 230s       | OK       |    6.3ms |  17.0% |  78.4% | --           | RUNNING
 231s       | OK       |    6.4ms |  20.2% |  78.4% | --           | RUNNING
 232s       | OK       |    7.5ms |  21.4% |  78.2% | --           | RUNNING
 233s       | OK       |    5.0ms |  25.0% |  78.2% | --           | RUNNING
 234s       | OK       |    6.4ms |  22.9% |  78.4% | --           | RUNNING
 235s       | OK       |    7.0ms |  17.7% |  77.9% | --           | RUNNING
 236s       | OK       |    6.3ms |  20.7% |  77.7% | --           | RUNNING
 237s       | OK       |    7.8ms |  19.9% |  77.8% | --           | RUNNING
 238s       | OK       |    6.1ms |  21.0% |  77.8% | --           | RUNNING
 239s       | OK       |    7.2ms |  19.5% |  77.7% | --           | RUNNING
 240s       | OK       |    6.5ms |  20.5% |  77.6% | --           | RUNNING
 241s       | OK       |    7.6ms |  19.6% |  77.6% | --           | RUNNING
 242s       | OK       |    7.5ms |  19.8% |  77.6% | --           | RUNNING
 243s       | OK       |    8.0ms |  20.1% |  77.6% | --           | RUNNING
 244s       | OK       |    6.5ms |  19.3% |  77.6% | --           | RUNNING
 245s       | OK       |    5.8ms |  14.3% |  77.1% | --           | RUNNING
 246s       | OK       |    4.6ms |  24.1% |  77.9% | --           | RUNNING
 247s       | OK       |    7.7ms |  15.8% |  77.6% | --           | RUNNING
 248s       | OK       |    5.6ms |  16.8% |  77.5% | --           | RUNNING
 249s       | OK       |    7.0ms |  10.9% |  77.4% | --           | RUNNING
 250s       | OK       |    7.4ms |  11.9% |  77.3% | --           | RUNNING
 251s       | OK       |    2.3ms |  15.1% |  76.8% | --           | RUNNING
 252s       | OK       |    6.9ms |  12.2% |  76.6% | --           | RUNNING
 253s       | OK       |    8.5ms |  13.6% |  76.7% | --           | RUNNING
 254s       | OK       |    7.6ms |  10.9% |  76.9% | --           | RUNNING
 255s       | OK       |    7.1ms |  13.8% |  76.7% | --           | RUNNING
 256s       | OK       |    6.6ms |  10.5% |  76.3% | --           | RUNNING
 257s       | OK       |    7.7ms |  11.2% |  76.0% | --           | RUNNING
 258s       | OK       |    7.5ms |  12.3% |  76.6% | --           | RUNNING
 259s       | OK       |    7.5ms |  16.9% |  76.5% | --           | RUNNING
 260s       | OK       |    5.2ms |  17.7% |  77.3% | --           | RUNNING
 261s       | OK       |    7.5ms |  18.1% |  77.1% | --           | RUNNING
 262s       | OK       |    8.5ms |  17.8% |  76.7% | --           | RUNNING
 263s       | OK       |    6.9ms |  18.9% |  77.3% | --           | RUNNING
 264s       | OK       |    8.0ms |  14.5% |  77.0% | --           | RUNNING
 265s       | OK       |    7.5ms |  14.0% |  76.8% | --           | RUNNING
 266s       | OK       |    8.3ms |  17.3% |  76.9% | --           | RUNNING
 267s       | OK       |    8.1ms |  15.8% |  76.7% | --           | RUNNING
 268s       | OK       |    6.4ms |  16.7% |  77.0% | --           | RUNNING
 269s       | OK       |    7.5ms |  17.9% |  77.0% | --           | RUNNING
 271s       | OK       |   10.3ms |  19.2% |  76.9% | --           | RUNNING
